first name,last name,similarity score,date,timestamp,image path
yash,verma,92.98,2025-04-24,21:14:03.581464,http://localhost:8501/app/static/yash_verma.jpg
yash,verma,87.31,2025-04-24,21:14:09.633165,http://localhost:8501/app/static/yash_verma.jpg
yash,verma,79.56,2025-04-24,21:14:14.944412,http://localhost:8501/app/static/yash_verma.jpg
yash,verma,75.53,2025-04-24,21:14:25.881783,http://localhost:8501/app/static/yash_verma.jpg
yash,verma,90.47,2025-04-24,21:14:36.825661,http://localhost:8501/app/static/yash_verma.jpg
est,yash,97.36,2025-05-28,12:02:00.961569,http://localhost:8501/app/static/est_yash.jpg
est,yash,95.45,2025-05-28,12:02:23.574223,http://localhost:8501/app/static/est_yash.jpg
newtest,yash,95.59,2025-05-28,12:02:45.758720,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,98.13,2025-05-28,12:02:56.877293,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,93.44,2025-05-28,12:02:59.748959,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,93.12,2025-05-28,12:03:03.740314,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,96.18,2025-05-28,12:03:13.653513,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,92.3,2025-05-28,12:03:18.301898,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,94.32,2025-05-28,12:03:20.800672,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,92.41,2025-05-28,12:03:34.137213,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,90.0,2025-05-29,14:56:36.223372,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,91.45,2025-07-10,12:25:25.571063,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,76.94,2025-07-10,12:25:40.373683,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,87.65,2025-07-10,12:26:59.135047,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,85.32,2025-07-10,12:27:38.278301,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,82.41,2025-07-10,12:27:49.503317,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,86.02,2025-07-10,12:28:00.396676,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,89.62,2025-07-10,12:28:04.628758,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,80.0,2025-07-10,12:28:08.258834,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,85.86,2025-07-10,12:28:14.160517,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,90.44,2025-07-10,12:31:07.521686,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,87.86,2025-07-10,12:37:49.233028,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,89.21,2025-07-10,12:39:17.883598,http://localhost:8501/app/static/newtest_yash.jpg
newtest,yash,89.0,2025-07-10,12:40:51.684763,http://localhost:8501/app/static/newtest_yash.jpg
